fiscal_year,funding_gap_start,duration_days,funding_gap_end,shutdown_flag,restoring_legislation,date_range,start_date,end_date,president,party_control_house,party_control_senate,major_issue,notes
1977,"September 30, 1976",10,"October 11, 1976",False,"H.J. Res. 1105
Pub. L. 94-473
90 Stat. 2065","September 30, 1976 – October 11, 1976",1976-09-30,1976-10-11,,,,,
1978,"September 30, 1977",12,"October 13, 1977",False,"H.J. Res. 626
Pub. L. 95-130
91 Stat. 1153","September 30, 1977 – October 13, 1977",1977-09-30,1977-10-13,,,,,
1978,"October 31, 1977",8,"November 9, 1977",False,"H.J. Res. 643
Pub. L. 95-165
91 Stat. 1323","October 31, 1977 – November 9, 1977",1977-10-31,1977-11-09,,,,,
1978,"November 30, 1977",8,"December 9, 1977",False,"H.J. Res 662
Pub. L. 95-205
91 Stat. 1460","November 30, 1977 – December 9, 1977",1977-11-30,1977-12-09,,,,,
1979,"September 30, 1978",17,"October 18, 1978",False,"H.R. 12929
Pub. L. 95-480
92 Stat. 1567

H.R. 12931
Pub. L. 95-481
92 Stat. 1591 

H.J. Res. 1139
Pub. L. 95-482
92 Stat. 1603","September 30, 1978 – October 18, 1978",1978-09-30,1978-10-18,,,,,
1980,"September 30, 1979",11,"October 12, 1979",False,"H.J. Res. 412
Pub. L. 96-86
93 Stat. 656","September 30, 1979 – October 12, 1979",1979-09-30,1979-10-12,,,,,
1982,"November 20, 1981",2,"November 23, 1981",True,"H.J. Res. 368
Pub. L. 97-85
95 Stat. 1098","November 20, 1981 – November 23, 1981",1981-11-20,1981-11-23,,,,,
1983,"September 30, 1982",1,"October 2, 1982",True,"H.J. Res. 599
Pub. L. 97-276
96 Stat. 1186","September 30, 1982 – October 2, 1982",1982-09-30,1982-10-02,,,,,
1983,"December 17, 1982",3,"December 21, 1982",False,"H.J. Res. 631
Pub. L. 97-377
96 Stat. 1830","December 17, 1982 – December 21, 1982",1982-12-17,1982-12-21,,,,,
1984,"November 10, 1983",3,"November 14, 1983",False,"H.J. Res 413
Pub. L. 98-151
97 Stat. 964","November 10, 1983 – November 14, 1983",1983-11-10,1983-11-14,,,,,
1985,"September 30, 1984",2,"October 3, 1984",False,"H.J. Res. 653
Pub. L. 98-441
98 Stat. 1699","September 30, 1984 – October 3, 1984",1984-09-30,1984-10-03,,,,,
1985,"October 3, 1984",1,"October 5, 1984",True,"H.J. Res. 656
Pub. L. 98-453
98 Stat. 1731","October 3, 1984 – October 5, 1984",1984-10-03,1984-10-05,,,,,
1987,"October 16, 1986",1,"October 18, 1986",True,"H.J. Res. 73812

Pub. L. 99-500
100 Stat. 1783

Pub. L. 99-591
100 Stat. 3341","October 16, 1986 – October 18, 1986",1986-10-16,1986-10-18,,,,,
1988,"December 18, 1987",1,"December 20, 1987",False,"H.J. Res. 431
Pub. L. 100-197
101 Stat. 1314","December 18, 1987 – December 20, 1987",1987-12-18,1987-12-20,,,,,
1991,"October 5, 1990",3,"October 9, 1990",True,"H.J. Res. 666
Pub. L. 101-412
104 Stat. 894","October 5, 1990 – October 9, 1990",1990-10-05,1990-10-09,,,,,
1996,"November 13, 1995",5,"November 19, 1995",True,"H.R. 2020
Pub. L. 104-52
109 Stat. 468

H.R. 2492
Pub. L. 104-53
109 Stat. 514

H.J. Res. 123
Pub. L. 104-54
109 Stat. 540","November 13, 1995 – November 19, 1995",1995-11-13,1995-11-19,,,,,
1996,"December 15, 1995",21,"January 6, 1996",True,"H.J. Res. 134
Pub. L. 104-94
110 Stat. 25","December 15, 1995 – January 6, 1996",1995-12-15,1996-01-06,,,,,
2014,"September 30, 2013",16,"October 17, 2013",True,"H.R. 2775
Pub. L. 113-46
127 Stat. 558","September 30, 2013 – October 17, 2013",2013-09-30,2013-10-17,,,,,
2018,"January 19, 2018",2,"January 22, 2018",True,"H.R. 195
Pub. L. 115-120
132 Stat. 28","January 19, 2018 – January 22, 2018",2018-01-19,2018-01-22,,,,,
2019,"December 21, 2018",34,"January 25, 2019",True,"H.J. Res. 28
Pub. L. 116-5
133 Stat. 10","December 21, 2018 – January 25, 2019",2018-12-21,2019-01-25,,,,,
